description,points,price,state,region,variety
"More full-bodied than the winery's brut, this Pinot Noir-based bubbly also is richer. It's just beautiful in raspberries and strawberries, with brighter touches of lime, and although the wine has a honeyed sweetness, it's zesty acidity makes it finish dry.",91,20,California,Carneros,Sparkling Blend
"Another fine success for Adelsheim, a founding Oregon winery currently on a quality roll. Elegant and crisply defined, this textbook Pinot Gris begins with a mix of fresh pear, honeydew and gooseberry, then refreshes the palate with juicy acids and some light citrus skin flavors.",91,19,Oregon,Willamette Valley,Pinot Gris
"High-toned and fruity, the Abondante mixes cherry candy with tropical flavors. Full-bodied, robust and ready to drink.",90,24,Washington,Columbia Valley (WA),Red Blend
"Sweetly floral, this concentrated and penetrating wine, from some special old-vine plantings on Snipes Mountain, smells and tastes like fancy perfume in a wine bottle. Though not sweet, it could certainly be served as a dessert wine, given its exotic character.",90,16,Washington,Snipes Mountain,Morio Muskat
"Dark and dusty, with streaks of metal and mineral, this complex Merlot retains the elegance so rarely found in domestic versions. Cassis and plum flavors melt into supple tannins soaked in espresso. Ready to drink now.",90,25,Washington,Wahluke Slope,Merlot
"This Bordeaux-style blend includes Cabernet Sauvignon, Cab Franc, Merlot and Malbec. A tasty, toasty bottle, it's loaded with ripe black fruits, notably cherry and cassis. The tannins are supple and seem soaked in Kahlua.",90,20,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
"One of the most successful Bordeaux blends to come out of Sonoma Valley lately, this wine is dry and earthy, providing a nice alternative to today's super-fruity, overripe style. It has rewarding cherry, blackberry, red currant, mocha and licorice flavors, balanced with rich tannins. Really stylish for drinking now.",91,20,California,Sonoma Valley,Bordeaux-style Red Blend
"This is a rich, flamboyant Chardonnay, built on a foundation of superripe pineapple, lime and golden mango fruit and elaborated with sweet, caramelized oak. Bright, zesty Edna Valley acidity balances the opulence.",90,24,California,Edna Valley,Chardonnay
"This lovely Sauvignon Blanc was cold fermented, then aged on the lees in neutral oak barrels. That was the perfect way to treat the grapes, which were grown in St. Helena. The wine shows rich flavors of limes, green melons and lemongrass, with a softly creamy texture and a long, spicy, honey-rich finish.",90,25,California,Napa Valley,Sauvignon Blanc
"This biodynamic Rhône blend is equal parts of Marsanne, Roussanne and Viognier, co-fermented with native yeast. It's a splendid example of the non-interventionist style, rich, and textural. The yeasty flavors are refreshing—pear and apple and cucumber fruit holding down the center—clean and solid. The wine gains power and brings in some toasty barrel flavors as it rolls into the finish.",90,22,Oregon,Applegate Valley,Rhône-style White Blend
"There's a delicate lemon scent, leading into a mix of citrus, grapefruit peel and honeysuckle. The wine gains weight in the mouth, showing ripe fruit (yellow apples) and a soft, lightly oxidized finish with toasted coconut and cracker. Quite delicious, distinctive and rich.",90,15,Oregon,Willamette Valley,Pinot Blanc
"A lovely Blanc de Blancs, bright and satisfying in lime, vanilla and toast flavors, with the yeasty complexity of a fine sparkling wine. Gains extra points for the smooth quality of the bubbles.",90,24,California,Carneros,Chardonnay
"A beautiful Cabernet for drinking now and over the next few years. It's dry and fine, with appealing blackberry, black currant, herb and cedar flavors all the way through the finish. Excellent price for a Cab of this quality. Easy to find with 36,000 cases produced.",90,20,California,Sonoma County,Cabernet Sauvignon
"Light and aromatic, this delicate and poised wine seduces with lush aromas of cherries and baking spices. It has the elegance that only fine Pinot Noir can express. Here the subtleties have been coaxed into rich expression, with details of spice and incense and chocolate truffles adding to the lingering finish.",90,22,Oregon,Umpqua Valley,Pinot Noir
"Tightly wound, with big, edgy tannins that accentuate the acidity. Underneath you'll find dry, elegant flavors of tart cherries, red currants and violets. A polished, pretty wine that could pick up some nuances over the next 2–3 years.",90,25,California,Sonoma Valley,Merlot
"A very pretty rosé, one of the most attractive on the market. Made from Pinot Noir, it's light and delicate, with polished raspberry, tangerine zest, rose petal, vanilla, gingersnap cookie and cinnamon spice flavors.",90,18,California,Central Coast,Rosé
"A great buy in a smooth, dry Merlot that shows real Napa elegance and style. It's medium-bodied and lush, with appealing cherry, currant, licorice, tobacco, mocha and spice flavors. Drink now for the immediate appeal.",90,22,California,Napa Valley,Merlot
"A wonderfully drinkable sparkling wine that appeals immediately for its balanced texture and rich flavors. Easy to like for its array of raspberries, limes, vanilla, toast and yeast. The sour lees note is nicely balanced with the sweet liqueur of dosage.",90,20,California,Sonoma County,Sparkling Blend
"It's difficult to understand why Pinot Blanc has not become more of a cult wine in Oregon. Producers such as Ponzi make it in a style that is bright, bursting with citrus and apple fruit flavors, and elevated with a rose garden's worth of floral highlights. This wine would be a perfect start to a holiday meal.",90,15,Oregon,Willamette Valley,Pinot Blanc
"Amity's dry Gewürztraminer is one of Oregon's finest, and a major strength of the winery. In this new vintage it shows broad and rich flavors, that run the spectrum from floral and spicy to sweetly honeyed. It's dry, make no mistake, but carries an impression of fruit sweetness. The deepening gold color suggests some early oxidation, and the caramel and toasted grain flavors are already at their peak.",90,20,Oregon,Willamette Valley,Gewürztraminer
"Young, tart and vividly bright, this spicy wine brings Asian pear and cool citrus flavors to the forefront. It holds well through a lingering finish, with a crisp, piercing, phenolic grip reminiscent of grapefruit rind.",90,22,Oregon,Chehalem Mountains,Pinot Blanc
"A picture perfect Sauvignon Blanc. Really defines the variety in California, with rich, ripe tangerine, pear, green melon and vanilla spice flavors, brightened with brisk acidity. Shows a lot of complexity and class, and look at that price. Easy to find, with 15,000 cases produced.",90,12,California,Monterey County,Sauvignon Blanc
"This is a delicious, brut-style wine, based on Chardonnay and Pinot Noir. It's very rich in strawberry, raspberry and lime flavors, with vanilla and toast complexities, and the finish is honey-sweet and spicy. Great price for a bubbly this elegant.",90,20,California,Napa Valley,Sparkling Blend
"Great price for a Cab this good, and surprising that it's nonvintage. Toasty oak stands out, not unpleasantly, and then the blackberries, black currants and dark chocolate kick in. Holds its own among far more expensive Napa Cabernets.",90,25,California,Napa Valley,Cabernet Sauvignon
"For years, Foxen has been producing one of the best Chenin Blancs in California, and with this 2009, they have outdone themselves. It's so rich in orange, honeydew and pineapple flavors, it might almost be Chardonnay, except it's drier and more minerally, and there's a wonderful note of dried herbs. Although production was only 575 cases, this wine is worth a special search, especially for sommeliers.",93,22,California,Santa Maria Valley,Chenin Blanc
"As in past vintages, this is half DuBrul and half Meek vineyard fruit. It's a far cry from what most consumers would think of as Merlot—this is a stiff, tannic, muscular wine, with a deep earthiness that speaks of rich loam and ancient rock. It strikes me as more typical of Malbec. The tannins are firm and dense, and the fruits are black as coal and laced with tar and smoke.",93,28,Washington,Yakima Valley,Merlot
"No winery in California has explored this French variety more than Cambiata, and with the '06, they've produced another interesting wine. It has weight and body and tannins, with wild black and red berry, currant, cherry liqueur, Provençal herb, tobacco and roasted meat flavors that finish with sweetness, although the wine is totally dry.",92,28,California,Monterey,Tannat
"The word inky must have been invented for this pure Cabernet Franc, sourced from the Weinbau vineyard (the label is misprinted). In the world of Cabernet Franc, many are called, and few are chosen. This is one of the chosen. Dense, tightly threaded with smoke, earth, black olive, black cherry, cassis and mocha scents and flavors, this nonetheless drinks smoothly. The tannin management is superb, softening up the hard edges without stripping the wine of flavor.",92,29,Washington,Wahluke Slope,Cabernet Franc
"Wow. An incredible (and affordable) example of what Mourvèdre can be in certain nooks and crannies of the Sierra Foothills and in certain hands. Here winemaker and owner Hank Beckmeyer has made a silk mountai wine out of a tough vintage, taking organically farmed Mourvèdre from the folks over at Cedarville (who have their own label too) and made a gorgeous, pure and rich Rhône with perfumed notes of plum, smooth spice and a good dose of earth, all easy on the palate with fresh acidity and a velvety texture. Very little sulfur was used.",93,22,California,Sierra Foothills,Mourvèdre
"You could use this as a teaching tool for classic Sonoma County Zinfandel. It's full-bodied, dry and spicy, with briary flavors of wild berries, mocha, tobacco, leather and exotic spices. More importantly, it's absolutely delicious. The grapes come from Seghesio's best vineyards in the Alexander and Dry Creek valleys. At this price, it's an astonishing value, especially considering that production was nearly 80,000 cases.",93,24,California,Sonoma County,Zinfandel
"A great Petite Sirah, one that continues an amazing string of successes for the winery. Combines the variety's robust and full-bodied berry, cherry, mocha and pepper flavors and bigtime tannins with classic Napa elegance and balance. Drinks beautifully now and will develop throughout the decade. The wine is based on fruit from a century-old vineyard.",93,28,California,Napa Valley,Petite Sirah
"A wonderful red wine, full-bodied, dry and elegant. It shows Cabernet character in the blackberries, cherries and black currants, but that's balanced with an earthiness and minerality and even some smoked meat notes that must come from a percentage of Syrah and Petite Sirah. Tasted in a flight of much more expensive Cabs, this one easily stood out. Drink now–2011.",92,16,California,Mendocino-Lake,Cabernet Sauvignon
"Shows the weight, complexity and sheer deliciousness that this bottling almost always displays. Chardonnay fans will love the oaky, creamy flavors of pineapple tart, pear and lemon jam and buttered toast. The winemaker recommends pairing with black cod, and if you have a Chinese restaurant that makes a good version of this honey and soy inspired dish, it will be heaven.",92,26,California,Arroyo Grande Valley,Chardonnay
"This is a lovely Chardonnay, a super restaurant wine list bottle. Dry and creamy, it offers pleasantly rich pineapple, lime pie, green apple, exotic spice and buttered toast flavors, accented with crisp, clean acidity.",92,23,California,Sonoma Coast,Chardonnay
"Here's a big, bold Zinfandel, explosive in wild forest berries, perfectly ripe and picked under the summer sun. It's softly smooth, with rich tannins and a long, sweetly spicy finish. Ed Sbragia has mastered the difficult art of elevating Dry Creek Valley. Drink now–2015.",93,28,California,Dry Creek Valley,Zinfandel
"Quite an interesting Chardonnay, in an era when so many are too sweet and extracted. There's plenty of orange and apricot fruit flavor, but also a brilliant streak of minerality, like a lick of cold steel, and the overall taste is dry. Really easy to like, with lots of complexity to warrant repeated sipping.",92,28,California,Oak Knoll District,Chardonnay
"Fruity, dusty and soft, a dark cherry and plum Graciano grown and made in Lodi with great depth, balance and earthiness. The grape is native to Rioja where it is usually blended with Tempranillo, but does deliciously here on its own. From Lodi Rules Certified Green grapes.",92,21,California,Mokelumne River,Graciano
"This is estate grown, from a Lake Chelan winery in an emerging region. Riesling is clearly a strength, as this has a delicate elegance often missing from the fruit bombs that can be grown in warmer sites. Bone dry, dusty and lightly floral in the nose. The balance of blossom, yellow fruits, juicy acidity and wet rock is impeccable; the wine extends itself gracefully into a lingering finish.",92,18,Washington,Columbia Valley (WA),Riesling
"Aromatically forward and lush, this greets you with lemon polish, beeswax, Satsuma oranges, and Key lime, backed with barrel-influenced coconut flavors. The flavors meld together in the mouth, holding firm with extra phenolic density through a lip-smacking, luscious and lingering finish.",92,21,Washington,Yakima Valley,Viognier
"Earns a high score for sheer richness and decadance. Huge in blackberry, blueberry, cassis, dark chocolate, bacon, pepper and oak flavors, wrapped into big, velvety tannins. Impresses for its size, but is totally dry, and retains balance and elegance. Now–2015.",92,25,California,Paso Robles,Syrah
"Almost all of California's best Viogniers are oaked, but not this one. As with Tangent's previous bottlings, it just shows that this particular wine doesn't need wood to be opulent and completely satisfying. With brisk, clean acidity, it displays complex citrus, white peach, green apple, wildflower and mineral flavors. What a wonderful wine, and a worthy followup to the sensational 2008.",92,17,California,Edna Valley,Viognier
"Most of this Sauvignon Blanc was tank fermented, but a portion received oak. That gives a welcome layer of smoky richness and vanilla to the beautiful, underlying Meyer lemon, lime, pear and green apple flavors that are so rich and mouthwateringly tart. A very drinkable, dry white wine.",91,14,California,Sonoma County,Fumé Blanc
"A worthy followup to the wonderful 2006. Shows equal concentration of blackberry, blueberry and licorice flavors, with a bacon and pepper savoriness that tantalizes. The structure is fine and firm, the finish dry and spicy. Drink now for sheer deliciousness.",91,16,California,Mendocino County,Syrah
"This pure varietal, single-vineyard, barrel-fermented wine perfectly captures the baseline flavors and qualities of the best Washington Sémillons. Complex and slightly high-toned, it brings ripe stone fruits, a hint of honeyed tea, impressive length and penetration, and a waxy, polished, lingering finish.",91,20,Washington,Wahluke Slope,Sémillon
"Absorbingly complex with racy, textural, mineral-driven flavors, this excellent wine features fleshy apple and pear fruit, crisply defined and extended. The low alcohol—just a tad over 13%—keeps the acids front and center; the wine is immaculately fresh, with just a touch (0.7%) of residual sugar.",92,12,Oregon,Willamette Valley,Pinot Gris
"For the second year in a row, Decoy has released one of the best values in Zinfandel of the vintage. This year, Sonoma County is source to the grapes, and the wine shows classic wild berry, cola, anise, pepper and sandalwood flavors. Most remarkable is the tannic structure, which is smooth and distinguished. Easy to find, with 15,000 cases produced.",91,22,California,Sonoma County,Zinfandel
"Also known as Mourvèdre. This Spanish-inspired Monastrell from Bokisch, grown on a hillside, is brawny with plenty of earth and bacon bite to it, yet also floral, rich yet also bright, tasting of black cherry and pomegranate with a menthol tobacco chaser.",91,21,California,Clements Hills,Monastrell
"A surprisingly perfumed, well-integrated and delicious Cab from the Santa Monica Mountains, where newcomer Howard Leight is starting to craft some superb juice. With some room to grow, this wine has plenty of elegant red plum and anise and its tannins are present but not overwhelming. Grab a steak and give it a go, especially at the price.",91,28,California,South Coast,Cabernet Sauvignon
"This big, soft, delicious Syrah tastes like a candy bar. It's rich and sweet in blackberry jam, blueberry pie with the crust, cocoa and spice flavors, with an umami tanginess like bacon. Easy to savor it through the entire bottle, although the alcohol level is high.",91,27,California,Russian River Valley,Syrah
"This Right Bank-styled blend includes 19% Cabernet Franc and 5% Petit Verdot. Despite its high (15.3%) alcohol, it's a meaty, complex wine that drinks much lighter. The berry/cherry fruit flavors are woven into a tapestry of earth, herb and spice, smooth and detailed, and the wine has a mouth-pleasing seamless quality that invites another sip, and another.",91,26,Washington,Walla Walla Valley (WA),Merlot
"This is pure Chardonnay, from cool-climate sites, showing a lean, sculpted spine that both defines and expands the flavors. Exceptionally complex for Washington Chardonnay, with good natural acidity, a mix of peach, apple and pineapple fruit, and a finish that shows tight layering. There is a dense core that should unravel with bottle age; this is that rare Washington Chardonnay that will prosper with cellaring.",91,20,Washington,Columbia Valley (WA),Chardonnay
"Kudos to Jorian Hill for crafting a rosé that's truly dry. It's a sophisticated, elegant blush wine with subtle raspberry, herb, rose petal, spice and mineral flavors, finished with a wonderfully clean scour of acidity. This Provençal blend of Syrah, Grenache and Mourvèdre is one of the best rosés of the yearn and is reasonably priced.",91,18,California,Santa Ynez Valley,Rosé
"Bright and earthy, dense and dark, this New World Tempranillo has an Old World soul, with dark cherry and strawberry going on as well as a touch of cocoa and tobacco. Its acidity adds a spark on the finish; this Ribera del Douro native grape seems plenty happy in the middle of California, at least in Bokisch's hands.",91,21,California,Lodi,Tempranillo
"Good price for such a lush, likeable Merlot. It's soft and rich in cherries, red currants and licorice. This is easly the best Sebastiani Merlot in many years.",91,24,California,Alexander Valley,Merlot
"Hard to explain why this Cabernet is so good at such an affordable price, but there you are. It's dry, smooth and complex in blackberry, black currant, mineral and oak flavors that are a joy to drink now with your best beef dish. Easy to find, with almost 31,000 cases produced.",90,25,California,Napa Valley,Cabernet Sauvignon
"Marked by big, ripe, juicy blackberry, raspberry and currant fruit, this single-vineyard Syrah is saved from simplicity by two things. There are complex notes of bacon, sautéed mushrooms, black pepper and smoky oak, and the tannins are wonderfully rich and ripe. Really delicious. Probably best soon, though, before the fruit fades.",91,23,California,Dry Creek Valley,Syrah
"This is just the third Sauvignon Blanc from Stevens (none was made in 2008), sourced from Klipsun vineyard and stainless steel fermented. Richly textural, with a creamy minerality, this has a pleasing intensity, a sort of nervosity (as the French might put it), lined with a sweet grain character. The fruits are tart and racy, a mix of citrus rind and pulp, tangerine and pineapple, finished with natural acidity.",91,19,Washington,Yakima Valley,Sauvignon Blanc
"Novy's Syrahs have really hit their stride lately. This one, from this little Sonoma County appellation, is soft and rich in blackberries, blueberries and Canadian bacon, with a smoky layer of charred oak. It is, in a word, delicious.",90,27,California,Bennett Valley,Syrah
"What a great red wine, just about perfect for steak. It's dry, full-bodied and tannic, with big, ripe blackberry and blueberry flavors. A little rustic, yes, but terrific for drinking now, and easily one of the best California Malbecs ever. And look at that price.",90,20,California,Alexander Valley,Malbec
"Mer Soleil's Chardonnay grapes dependably get so ripe, they offer explosive flavors even without oak. You won't miss a thing without that barrel. The pineapple, orange and golden mango flavors are delicious on their own, and even offer a hint of vanilla. A mouthwateringly fresh squeeze of acidity makes everything bright and clean.",90,24,California,Santa Lucia Highlands,Chardonnay
"Like the label says, this Viognier is sweet, with honey, apricot, orange and vanilla cream flavors, brightened with fine acidity. Give it more concentration, and the score would soar. Still, it's a very nice dessert wine for the price.",90,19,California,Russian River Valley,Viognier
"Scents of licorice, coffee and tobacco move into concentrated blueberry and cassis fruit flavors that wrap into a tannic, chewy midpalate. The fruit here is outstanding, and the wine delivers excellent, clean, concentrated flavors at this price point. An outstanding value.",91,20,Washington,Horse Heaven Hills,Red Blend
"A really nice, elegant Chardonnay at a good price. The wine is dry and lightly oaked, showing rich pineapple, peach, vanilla and buttered toast flavors enhanced with crisp acidity. Only 731 cases were produced of this lovely, food-friendly wine.",91,22,California,Edna Valley,Chardonnay
"Tangent makes the best, most consistent unoaked Sauvignon Blanc in California. The 2009 is another classic, offering brilliantly clean, crisp flavors of citrus fruits, green apples and gooseberries. Just beautiful.",91,13,California,Edna Valley,Sauvignon Blanc
"This is a beautiful wine from the nose on out. Complex and aromatic, it has Italian-style tobacco scents, fresh acidity, leafy highlights, and undertones of tar, licorice and clove, all wrapped around tart, pie cherry fruit.",91,28,Washington,Columbia Valley (WA),Merlot
"Blended with 17% Sauvignon Blanc, this lovely Sémillon is exceptionally fragrant, satiny and rich, with fleshy, ripe fruits and just a hint of toast. A warm streak of caramel enlivens the finish, which lingers gracefully and fills the palate with delicious flavors of apples and spicy pears.",91,15,Washington,Columbia Valley (WA),Sémillon
"A fine Chardonnay, creamy, flavorful and complex. It's as soft as buttercream, yet a vital streak of acidity brightens the tropical fruit and vanilla richness. Showcases the Santa Rita Hills in a good, cool vintage.",90,25,California,Sta. Rita Hills,Chardonnay
"Sourced about equally from Kiona (on Red Mountain) and Rosebud (in the Wahluke Slope), this deep, dark, well-made Syrah offers exception value. The fruit is plenty ripe, a mix of berries, raisins and plums; there is a generous chocolate note, firm tannins, and the grapes' earthy, lightly funky side displayed as well. It's all beautifully balanced.",91,20,Washington,Columbia Valley (WA),Syrah
"Made with no oak, this pretty wine stars fresh fruit and clean acidity. With orange, honeysuckle, melon, mineral and vanilla flavors, it has a mouthfeel midway between a crisp Sauvignon Blanc and a creamy Chardonnay. Production was low, only 559 cases, but worth a search.",91,17,California,Edna Valley,Grenache Blanc
"A beautiful Syrah, richly textured and delicious. Held back for three years, it's perfect now for the soft texture, and the raspberry, cherry and orange zest flavors have a spicy edge. Complexity is enhanced with additions of Petite Sirah, Sangiovese, Barbera, Grenache and Viognier.",90,18,California,Sonoma Valley,Syrah
"This deservedly popular value bottle gets the star Pinot treatment—nine months in French oak, 27% new. It's spicy and full-flavored, with resonant blue plum fruit, buttery toast and a tannic frame.",91,21,Oregon,Willamette Valley,Pinot Noir
"Tart aromas of sour cream, yogurt, candied lime and pressed quince show on the nose of this stylishly structured Chardonnay. The palate carries the theme forward, with pithy pink grapefruit notes, lime ade and brie rinds, showing firm tension on the tongue and bound-up energy that will keep this bottle alive for years.",91,16,California,Santa Ynez Valley,Chardonnay
"From the only estate in Sonoma County growing the variety, this full-bodied white was aged in a combination of neutral French oak and stainless steel. Sly on the nose, it opens slowly with a whiff of sour apple and a squeeze of lemon, an intensity of savory dill and white pepper at its core.",91,26,California,Sonoma Mountain,Grüner Veltliner
"The winemaker has said he makes Russian River Valley Pinot Noir to support his Syrah habit. Here he offers a compelling case in point, making a velvety, substantial 100% Syrah that's more elegant than overpowering. Mocha-kissed tannins play nicely with black and red berry fruit, providing a structure built to age, through 2021.",91,29,California,Russian River Valley,Syrah
"A kitchen-sink blend of varieties with Merlot (44%) and Cabernet Sauvignon (26%) taking the lead, this wine offers appealing aromas that suggest high-toned, sweet barrel spices, plum and herbs. It's loaded with cranberry, cherry and plum flavors with a rich mouthfeel that keeps the interest high.",91,18,Washington,Columbia Valley (WA),Red Blend
"Concentrated and complex, this is a layered and packed wine. Dark chocolate, black cherry and pomegranate flavors are animated by a lively current of fine tannins, fresh acidity and full body. It includes 24% Cabernet Sauvignon. Delicious now, but will improve through at least 2018.",91,17,California,Mendocino,Merlot
"From the Napa side of Carneros, this Merlot is blended with 1% Petit Verdot, which presumably has added a smidgen of weight and color to the mix. Supersoft, the wine is well-rounded in ripe cherry and blueberry notes, with ample acidity, textured tannins and a strong finish that's awash in mocha flavor.",91,27,California,Carneros,Merlot
"Made in an Alsatian style from a 150-plus-year-old estate vineyard, this dry, well-crafted white is 90% stainless-steel fermented, with the rest fermented in neutral oak. It conveys jasmine and ripe stone fruit, crisp, clean with very little oak intrusion and sharply etched acidity. Flavors of pear and green apple mark the finish.",91,22,California,Sonoma Coast,Gewürztraminer
"Light bodied and highly aromatic in petrol, waxy apple and pear, this vineyard-designate is crisp and floral, with buoyant acidity. It lists the residual sugar at 9 g/L but tastes more dry than sweet, finishing with a touch of cream.",91,20,California,Dry Creek Valley,Riesling
"Waxy pear and white plum provide the fruit-forward flavors of this wine, which exhibits plenty of minerality on the midpalate before offering a wave of richness and vanilla cream. The finish finds a focus and balance between these two ends, ending light and bright.",91,25,California,Sonoma Valley,Chardonnay
"The largest production offering of this variety for this producer, this features fruit sourced from a who's who of local growers, including Sangiacomo, Dutton and Martinelli, in addition to the estate-run Wildcat Mountain Vineyard. The result is satisfyingly impressive in viscous oak, graham cracker and Meyer lemon. Tangy and flinty on the finish, it's smooth and focused.",91,25,California,Sonoma Coast,Chardonnay
"Who puts their lowest-priced Pinot Noir in 20% new French oak, and includes fruit from their best vineyards in the blend? Ponzi does, and the result is a terrific vintage for Tavola. Bright, compact, aromatic and lushly fruited with plum and black cherry, this is a stunning value. Cola, caramel and cinnamon spice add further details and highlights.",91,25,Oregon,Willamette Valley,Pinot Noir
"Ripe aromas of honeydew are cut down the middle with a pointed petrol note as well as lime skins and grapefruit pith. The palate on this bottling from popular Riesling source Kick-On Ranch is wound up very tight, showing lime skins, focused acidity and a gray-rock minerality. This would go great with shellfish now, or continue to emerge and uncurl in the cellar from 2018–2030.",91,28,California,Santa Barbara County,Riesling
"Light banana flambée, vanilla meringue and yellow-cake aromas show on the generous but not overbearing nose of this blend of 49% Grenache Blanc, 31% Viognier, 12% Roussanne and 8% Marsanne. The tropicality of the nose disappears on the palate, which is tart and grippy with green apple and Anjou pear flavors as well as a touch of melon and smoke.",91,20,California,Paso Robles,Rhône-style White Blend
"This 100% varietal comes from two standout vineyards—Boushey (70%) and Red Willow.Made with native yeast and barrel-fermented, it is aromatically mesmerizing with kiwi, lemon oil and herbs. As opulent as the aromas seem, the wine is quite restrained in style with a panoply of citrus and stone fruit flavors framed by vivid, mouthwatering acidity.",91,25,Washington,Yakima Valley,Sauvignon Blanc
"This wine from the Fess Parker-owned Rodney's Vineyard shows inky purple color, offering slightly reductive aromas of tar and charred meat but also violets and black pepper. It's full on the palate, hitting first with purple fruit and dried purple flowers before delivering plum-skin acidity and peppery spice. It's an attention-grabber.",91,28,California,Santa Barbara County,Syrah
"A light golden hue, this richly aromatic wine offers notes of toasty barrel spices, apricot and dried mango. It's full bodied, almost unctuous in feel, with abundant, sweet stone-fruit flavors and a lingering finish.",90,28,Washington,Columbia Valley (WA),Chardonnay
"A terrific value in a benchmark Oregon Pinot Gris, this is bright and refreshing, with the palate-cleansing minerality that characterizes all of the Adelsheim white wines. Jicama and melon and pear fruits mingle seamlessly, and the wine's texture and length are impressive.",91,19,Oregon,Willamette Valley,Pinot Gris
"A superb value, this estate-grown Pinot brings dense fruit flavors of raspberry and cherry, sourced from Dijon clones. Firm and slightly high-toned, it spent 17 months in one-third new oak, resulting in baking-spice notes that unfold on the finish.",91,22,Oregon,Eola-Amity Hills,Pinot Noir
"Beautifully balanced between maturity and freshness, this elegant bubbly combines appetizing cherry, almond and ginger flavors with a suave texture and long finish. It achieves a level of personality and sophistication beyond simple fruitiness.",91,20,California,Mendocino County,Sparkling Blend
"Massively fruity, this is an apple/pear bonanza, fleshy and almost lasciviously delicious. The huge fruit flavors convey an impression of sweetness, though this is not identified as off dry. It has tremendous density and length.",91,19,Oregon,Willamette Valley,Pinot Gris
"This wine over-delivers in quality for the price. It's made from mostly Cabernet Sauvignon, with handfuls of Merlot, Malbec, Petit Verdot and Cabernet Franc blended in to good effect. The whole combines into layers of chocolate and graham cracker, dappled in vanilla and jam. Thick tannins suggest a swirl or two of the glass. The finish is all tobacco.",91,28,California,Napa Valley,Cabernet Sauvignon
"This is a soft and intense Pinot Noir from three different appellations that's affordable and approachable. It's well-made, with earth, candied citrus and Bing cherry notes intermixed with hints of anise and subtle oak.",90,25,California,San Luis Obispo-Sonoma-Monterey,Pinot Noir
"Made from 90% Chardonnay, the remainder Pinot Gris, this light-golden sparkler is well-composed, with a maturity on the palate leaning towards flavors of almond and anise. Floral and creamy, it has buoyant acidity that gives an impressive lift.",90,22,California,Napa Valley,Sparkling Blend
"There is a very fleshy fruit smell on this wine from west of Paso Robles, with Meyer lemon and barely ripe melon aromas. The palate is nicely wide and ripe, with flavors of lemon-sprayed nectarines but also with elements of honey butter and honeysuckle that are reminiscent of oak.",90,20,California,San Luis Obispo County,Pinot Gris
"Hints of waxy white florals and lemon zest persist from nose to finish on this intensely revitalizing semidry Riesling. Tart stone-fruit flavors penetrate the palate, highlighted by a stream of spine-tingling acidity.",90,17,New York,Finger Lakes,Riesling
"On the big and bold side, this has abundant fruit flavors surrounded by equally abundant lip-smacking tannins, great acidity and a long finish. Not very oaky, it has a vibrancy and fruit focus that is mouthwatering and compelling. It's tasty now, but will also improve through 2017.",90,15,California,Mendocino County,Merlot
"The aromas on this wine by Bryan Babcock find an intriguing balance between ripe nectarine flesh and tart stonefruit skins. It's a bit more lush in style than other Pinot Gris of the vintage, quite broad on the palate, with apple-pear flavors, lingering lemon skin bitterness and an acidity that soaks into the tongue.",90,25,California,Sta. Rita Hills,Pinot Gris
"This is complex, delicious, bold and tannic, bringing the big structure that is expected without being heavy handed. It offers concentrated blackberry and fig aromas, richly jammy flavors that stay dry and a tannic but not tough texture.",90,16,California,Livermore Valley,Petite Sirah
"A pretty salmon-pink in color, and a lovable quaffer, this wine is dry, crisp and brightly refreshing in succulent waves of grapefruit and tangerine, remarkably light in alcohol but not shy in flavor. Enjoy it on its own or with a range of foods—its lightness begets versatility.",91,22,California,Knights Valley,Syrah
"This is complex, delicious, bold and tannic, bringing the big structure that is expected without being heavy handed. It offers concentrated blackberry and fig aromas, richly jammy flavors that stay dry and a tannic but not tough texture.",90,16,California,Livermore Valley,Petite Sirah
"From a warm vintage, this aromatic offering has notes of candy corn, corn silk, pear and tropical fruit. It's full bodied with sweet fruit flavors that have a creamy feel and lead to a lingering finish.",90,20,Washington,Columbia Valley (WA),Chardonnay
"Sourced from all over the Napa Valley, this wine blends 87% Cabernet Sauvignon with 1% Syrah and other unnamed red varieties. The effort works, resulting in a glass of concentrated red cherry, herb and spice, the tannins tight yet approachable enough for the wine to remain juicy.",90,25,California,Napa County,Cabernet Sauvignon
"This is a mineral-driven take on the grape by Westside Paso vintner Michael Gill, with sharp wet stone and grapefruit peel aromas. The palate is tightly wound and very fresh, with flavors of lime juice and lemon zest.",90,24,California,Paso Robles,Viognier
"The aromas on this wine by Bryan Babcock find an intriguing balance between ripe nectarine flesh and tart stonefruit skins. It's a bit more lush in style than other Pinot Gris of the vintage, quite broad on the palate, with apple-pear flavors, lingering lemon skin bitterness and an acidity that soaks into the tongue.",90,25,California,Sta. Rita Hills,Pinot Gris
"Beautifully crafted, this is racy and mineral-soaked. Mountain herbs are in abundance, along with clean, green (in a good way) berry, banana and pineapple fruit. It's balanced throughout, with excellent length and texture.",90,25,Oregon,Chehalem Mountains,Pinot Blanc
"Stainless-steel fermented, this wine remains pungently aromatic in woody, earthy tones, with accents of fragrant orange blossom and pear, while staying crisp and light on the palate. Honey and lemon combine on the complex finish.",90,18,California,Russian River Valley,Gewürztraminer
